user_id,city,order_date,order_value_inr,complaint_type,refund_requested,refund_ttr_hours,delivered_ok,repeat_order_30d
2,Mumbai,2026-05-19,305.01,none,False,,True,False
4,Hyderabad,2026-05-21,1007.36,false_delivered_status,True,86.8,False,False
6,Kolkata,2026-06-16,379.85,none,False,,True,False
8,Mumbai,2026-06-27,203.33,none,False,,True,False
10,Hyderabad,2026-05-02,299.44,none,False,,True,False
13,Pune,2026-05-18,274.85,none,False,,True,True
14,Pune,2026-05-15,525.01,missing_or_wrong_item,True,5.2,False,False
16,Pune,2026-06-11,155.32,none,False,,True,False
17,Kolkata,2026-05-24,410.04,missing_or_wrong_item,True,16.0,False,False
18,Kolkata,2026-05-03,128.13,none,False,,True,False
19,Mumbai,2026-06-11,478.07,false_delivered_status,True,50.4,False,False
24,Delhi,2026-06-26,347.59,false_delivered_status,True,75.4,False,False
26,Bengaluru,2026-06-23,122.03,none,False,,True,True
27,Hyderabad,2026-06-08,681.62,none,False,,True,False
28,Mumbai,2026-05-28,448.57,none,False,,True,False
30,Hyderabad,2026-06-24,367.74,none,False,,True,True
31,Kolkata,2026-05-22,290.06,none,False,,True,True
33,Bengaluru,2026-05-19,386.35,address_triggered_cancellation,True,9.7,False,False
41,Kolkata,2026-06-04,316.47,none,False,,True,True
45,Mumbai,2026-05-21,238.46,address_triggered_cancellation,True,34.1,False,False
50,Pune,2026-05-21,536.23,missing_or_wrong_item,True,4.1,False,False
52,Mumbai,2026-06-01,496.68,missing_or_wrong_item,True,4.7,False,False
59,Kolkata,2026-06-12,83.62,none,False,,True,False
60,Hyderabad,2026-05-06,279.12,missing_or_wrong_item,True,15.2,False,False
61,Pune,2026-06-19,119.23,none,False,,True,False
62,Mumbai,2026-06-06,216.97,none,False,,True,False
65,Pune,2026-06-24,466.4,false_delivered_status,True,56.0,False,False
66,Hyderabad,2026-05-05,146.18,missing_or_wrong_item,True,6.5,False,False
67,Mumbai,2026-06-17,274.79,none,False,,True,False
70,Pune,2026-06-14,432.75,address_triggered_cancellation,True,44.6,False,False
71,Bengaluru,2026-05-20,245.88,missing_or_wrong_item,True,14.2,False,False
73,Hyderabad,2026-05-29,354.16,address_triggered_cancellation,True,20.3,False,False
75,Mumbai,2026-06-20,333.36,missing_or_wrong_item,True,3.0,False,True
77,Bengaluru,2026-06-18,283.69,missing_or_wrong_item,True,1.3,False,False
84,Pune,2026-06-22,279.03,address_triggered_cancellation,True,23.6,False,False
85,Bengaluru,2026-05-11,411.55,address_triggered_cancellation,True,12.2,False,False
86,Kolkata,2026-05-13,646.08,false_delivered_status,True,29.8,False,False
91,Bengaluru,2026-06-14,170.87,refund_delay_only,True,21.7,True,False
92,Delhi,2026-06-08,509.87,none,False,,True,False
95,Bengaluru,2026-06-29,41.53,none,False,,True,True
98,Hyderabad,2026-05-24,332.71,false_delivered_status,True,34.0,False,False
100,Kolkata,2026-05-17,116.99,none,False,,True,True
105,Pune,2026-06-02,53.47,none,False,,True,True
108,Delhi,2026-05-21,385.71,none,False,,True,False
110,Mumbai,2026-06-23,302.8,missing_or_wrong_item,True,8.3,False,False
112,Pune,2026-05-14,255.39,address_triggered_cancellation,True,36.3,False,False
113,Mumbai,2026-05-18,354.95,none,False,,True,True
